id,carat,cut,color,clarity,depth,table,x,y,z
1091,0.4,Ideal,E,SI1,62.2,55.0,4.75,4.71,2.94
1092,0.41,Ideal,F,IF,61.7,56.0,4.79,4.83,2.97
1093,0.32,Very Good,G,VVS2,62.6,54.0,4.37,4.39,2.74
1094,0.52,Ideal,I,VVS2,62.2,57.0,5.18,5.11,3.2
1095,0.32,Ideal,H,IF,61.8,55.0,4.42,4.45,2.74
1096,0.7,Very Good,H,VVS1,59.2,60.0,5.87,5.78,3.45
1097,0.41,Premium,F,SI2,60.8,58.0,4.83,4.78,2.92
1098,1.07,Ideal,H,SI2,59.2,57.0,6.7,6.64,3.95
1099,0.31,Ideal,H,VS1,61.8,54.2,4.33,4.37,2.69
1100,0.41,Ideal,G,VS2,61.7,54.0,4.78,4.81,2.96
1101,0.43,Good,D,SI2,63.1,59.0,4.8,4.81,3.03
1102,0.5,Ideal,D,VS2,61.9,57.0,5.09,5.06,3.14
1103,0.52,Premium,E,VS1,61.6,58.0,5.18,5.14,3.18
1104,1.2,Premium,G,VS1,60.2,60.0,6.82,6.87,4.12
1105,0.56,Ideal,E,VS2,62.6,57.0,5.29,5.26,3.3
1106,0.34,Premium,G,VS2,61.6,60.0,4.49,4.47,2.76
1107,0.36,Ideal,G,VS1,62.3,57.0,4.57,4.55,2.84
1108,0.51,Ideal,H,VS1,61.1,56.0,5.11,5.16,3.14
1109,0.37,Ideal,F,VS2,60.6,56.0,4.64,4.63,2.81
1110,0.32,Premium,I,VS1,62.6,58.0,4.4,4.38,2.75
1111,0.24,Very Good,F,VVS1,59.0,58.0,4.07,4.1,2.41
1112,1.16,Very Good,I,SI1,61.5,60.4,6.71,6.76,4.14
1113,0.42,Ideal,F,VS1,60.6,56.0,4.87,4.83,2.94
1114,0.33,Premium,H,VS2,61.7,59.0,4.39,4.42,2.72
1115,1.51,Premium,G,SI1,62.2,58.0,7.3,7.26,4.53
1116,0.32,Ideal,E,SI2,62.0,55.0,4.41,4.36,2.72
1117,0.36,Premium,D,SI1,61.5,59.0,4.55,4.52,2.79
1118,0.31,Very Good,D,SI1,63.5,56.0,4.31,4.29,2.73
1119,0.75,Very Good,G,SI1,62.3,59.0,5.77,5.81,3.61
1120,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3
1121,0.42,Ideal,H,VS1,62.4,57.0,4.76,4.79,2.98
1122,0.26,Ideal,D,VVS2,61.4,55.0,4.1,4.17,2.54
1123,0.75,Fair,F,SI1,64.5,60.0,5.65,5.54,3.61
1124,1.05,Very Good,J,I1,59.6,63.0,6.61,6.55,3.92
1125,0.26,Ideal,G,VS1,62.1,55.0,4.09,4.12,2.55
1126,1.23,Very Good,I,SI2,62.6,59.0,6.78,6.86,4.27
1127,0.42,Ideal,G,IF,62.0,57.0,4.8,4.82,2.98
1128,0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97
1129,1.5,Good,I,SI1,64.3,55.0,7.24,7.19,4.64
1130,1.01,Premium,G,IF,63.0,60.0,6.35,6.31,3.99
1131,0.43,Premium,D,SI1,62.4,60.0,4.79,4.82,3.0
1132,1.71,Very Good,G,VS1,61.3,54.0,7.69,7.74,4.73
1133,0.33,Ideal,G,VVS2,62.3,56.0,4.43,4.47,2.77
1134,0.78,Very Good,I,VS1,60.9,55.0,5.94,5.98,3.63
1135,0.77,Ideal,D,SI1,62.5,56.0,5.86,5.91,3.68
1136,0.56,Premium,F,SI2,59.1,58.0,5.44,5.38,3.2
1137,0.25,Very Good,E,VVS1,62.6,57.0,3.98,4.01,2.5
1138,1.22,Premium,D,SI2,61.8,58.0,6.86,6.8,4.22
1139,1.18,Ideal,E,SI2,60.8,57.0,6.89,6.83,4.17
1140,1.0,Premium,E,VS1,61.1,60.0,6.43,6.41,3.92
1141,0.56,Premium,D,SI1,60.2,60.0,5.38,5.33,3.22
1142,0.55,Premium,E,VS2,59.1,62.0,5.37,5.32,3.16
1143,0.4,Ideal,E,SI1,61.2,57.0,4.7,4.74,2.89
1144,1.13,Ideal,E,VVS2,61.6,56.0,6.69,6.71,4.13
1145,0.32,Ideal,E,VS2,61.7,56.0,4.44,4.41,2.73
1146,1.01,Very Good,E,VVS2,63.3,58.0,6.39,6.31,4.02
1147,1.22,Ideal,F,SI2,61.7,54.9,6.84,6.9,4.24
1148,1.59,Premium,F,VS2,60.2,60.0,7.62,7.59,4.58
1149,1.71,Good,E,SI1,63.8,58.0,7.54,7.48,4.79
1150,0.3,Ideal,F,VS2,61.8,57.0,4.33,4.31,2.67
1151,0.42,Ideal,G,VVS1,61.7,55.0,4.84,4.78,2.97
1152,0.34,Ideal,G,SI1,61.5,55.0,4.49,4.52,2.77
1153,0.5,Very Good,D,VS2,63.8,56.0,5.05,5.08,3.23
1154,0.41,Very Good,F,SI1,62.9,56.0,4.71,4.73,2.97
1155,0.9,Fair,H,SI1,66.8,55.0,5.98,5.9,3.97
1156,0.81,Ideal,G,SI2,61.7,57.0,5.98,6.01,3.7
1157,1.02,Good,H,SI1,57.1,61.0,6.66,6.57,3.78
1158,0.36,Ideal,D,VS2,61.5,57.0,4.58,4.56,2.81
1159,0.34,Ideal,E,VVS2,62.3,57.0,4.44,4.48,2.78
1160,1.19,Ideal,F,VS2,62.0,57.0,6.78,6.76,4.2
1161,0.53,Ideal,E,VS2,62.0,56.0,5.16,5.2,3.21
1162,2.12,Premium,G,SI2,62.6,59.0,8.18,8.12,5.1
1163,0.38,Ideal,H,VS1,60.6,57.0,4.7,4.73,2.85
1164,0.35,Good,I,SI1,63.6,56.0,4.5,4.53,2.87
1165,0.91,Ideal,G,SI1,62.0,56.0,6.19,6.22,3.85
1166,0.39,Premium,F,SI1,60.1,59.0,4.77,4.74,2.86
1167,1.58,Premium,H,VS1,61.7,59.0,7.48,7.42,4.6
1168,1.51,Ideal,G,VS2,62.2,59.0,7.28,7.34,4.55
1169,0.4,Very Good,H,VVS1,62.9,56.0,4.69,4.72,2.96
1170,0.43,Good,F,SI1,63.7,57.0,4.79,4.73,3.04
1171,2.05,Ideal,J,SI1,60.3,60.0,8.17,8.24,4.95
1172,1.51,Premium,E,VS2,62.6,60.0,7.28,7.22,4.54
1173,1.51,Premium,D,VS2,61.7,58.0,7.33,7.29,4.51
1174,0.42,Very Good,D,VS2,63.8,54.0,4.74,4.79,3.04
1175,0.85,Very Good,F,VS1,62.0,55.0,6.08,6.14,3.78
1176,0.9,Fair,D,SI1,64.0,63.0,6.12,6.04,3.89
1177,0.3,Very Good,E,SI1,63.4,56.0,4.25,4.23,2.69
1178,0.75,Ideal,E,SI1,62.2,57.0,5.82,5.86,3.63
1179,0.7,Premium,G,SI1,61.8,59.0,5.68,5.59,3.48
1180,0.41,Very Good,H,SI1,62.4,56.0,4.74,4.78,2.97
1181,1.59,Good,G,SI1,63.8,56.0,7.41,7.34,4.71
1182,0.51,Ideal,E,VS1,61.5,56.0,5.11,5.16,3.16
1183,1.0,Premium,I,VS1,60.6,58.0,6.47,6.4,3.9
1184,0.42,Very Good,F,SI1,62.7,55.0,4.8,4.83,3.02
1185,0.31,Premium,F,VS2,62.7,59.0,4.34,4.3,2.71
1186,0.59,Very Good,I,SI1,61.7,55.2,5.39,5.41,3.33
1187,0.71,Ideal,D,VS1,61.7,56.0,5.71,5.74,3.53
1188,0.25,Ideal,H,VVS1,62.5,56.0,4.03,4.06,2.53
1189,0.71,Ideal,F,VS2,62.3,57.0,5.69,5.74,3.56
1190,1.53,Very Good,I,SI1,63.0,58.0,7.24,7.32,4.59
1191,1.98,Ideal,I,SI1,61.5,55.0,8.04,8.13,4.97
1192,1.01,Very Good,F,VS1,62.6,56.0,6.39,6.36,3.99
1193,0.3,Very Good,D,SI1,58.8,57.0,4.4,4.44,2.6
1194,1.66,Premium,D,SI1,62.0,59.0,7.6,7.55,4.7
1195,1.15,Premium,G,SI2,62.2,60.0,6.69,6.66,4.15
1196,1.26,Premium,I,VS2,61.2,59.0,7.03,6.9,4.26
1197,1.07,Very Good,H,SI1,60.4,58.0,6.67,6.73,4.05
1198,0.51,Very Good,F,IF,59.4,60.0,5.18,5.23,3.09
1199,2.0,Very Good,I,SI1,62.9,59.2,7.95,8.08,5.05
1200,2.01,Premium,H,SI1,61.7,60.0,8.06,7.96,4.94
1201,0.53,Ideal,G,IF,62.1,57.0,5.16,5.21,3.22
1202,0.31,Ideal,D,SI1,62.1,56.0,4.37,4.33,2.7
1203,0.36,Premium,H,VS1,61.6,59.0,4.57,4.52,2.8
1204,1.72,Good,F,SI1,64.3,60.0,7.52,7.56,4.85
1205,0.33,Ideal,G,IF,61.6,53.0,4.47,4.43,2.74
1206,1.57,Premium,J,VS1,61.3,59.0,7.47,7.44,4.57
1207,0.73,Ideal,G,VS1,60.9,59.0,5.79,5.83,3.54
1208,0.68,Very Good,G,IF,62.7,56.0,5.56,5.6,3.5
1209,2.02,Premium,I,SI2,61.2,58.0,8.11,8.04,4.94
1210,0.82,Premium,I,VS1,61.9,58.0,5.99,5.97,3.7
1211,0.5,Premium,F,SI1,60.1,59.0,5.17,5.14,3.1
1212,0.3,Ideal,F,IF,60.9,56.0,4.32,4.35,2.64
1213,1.21,Ideal,F,VS2,62.9,54.0,6.82,6.78,4.28
1214,0.5,Good,G,SI1,63.6,55.0,5.06,5.03,3.21
1215,0.53,Very Good,H,SI2,61.4,57.0,5.21,5.25,3.21
1216,2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97
1217,1.03,Ideal,D,SI1,61.6,55.0,6.49,6.53,4.01
1218,0.57,Ideal,F,VVS2,61.6,57.0,5.32,5.36,3.29
1219,2.01,Very Good,H,SI2,62.9,55.0,8.03,8.09,5.07
1220,0.53,Ideal,H,VS1,62.1,56.0,5.21,5.19,3.23
1221,0.7,Good,E,VS2,58.7,63.0,5.69,5.73,3.35
1222,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04
1223,0.32,Ideal,H,VS2,61.3,55.0,4.4,4.44,2.71
1224,0.45,Good,E,SI1,63.9,57.0,4.81,4.86,3.09
1225,0.9,Very Good,F,SI1,62.5,60.0,6.05,6.11,3.8
1226,0.54,Ideal,E,VS2,61.6,56.0,5.24,5.28,3.24
1227,0.31,Ideal,E,VS1,61.6,56.0,4.38,4.35,2.69
1228,0.32,Ideal,F,VVS1,61.7,55.0,4.42,4.46,2.74
1229,0.57,Premium,F,SI2,61.7,59.0,5.34,5.31,3.29
1230,0.7,Premium,D,VS1,62.5,59.0,5.69,5.64,3.54
1231,1.07,Ideal,E,VS1,60.0,58.0,6.66,6.7,4.01
1232,0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27
1233,1.5,Fair,E,VS1,65.4,57.0,7.14,7.07,4.65
1234,1.03,Good,D,SI1,64.3,58.0,6.31,6.28,4.05
1235,0.31,Premium,F,VS2,59.4,58.0,4.45,4.37,2.62
1236,1.03,Fair,H,SI1,65.1,57.0,6.43,6.36,4.16
1237,0.31,Ideal,D,VS2,62.1,55.0,4.38,4.32,2.7
1238,0.28,Ideal,F,VVS2,62.6,55.0,4.2,4.23,2.64
1239,0.9,Very Good,G,VS2,63.3,54.0,6.19,6.11,3.89
1240,0.57,Premium,E,VS2,63.0,59.0,5.29,5.25,3.32
1241,0.25,Ideal,H,VS2,61.0,55.0,4.09,4.11,2.5
1242,1.08,Ideal,G,SI1,61.8,56.0,6.58,6.55,4.06
1243,0.53,Ideal,G,VVS2,60.8,57.0,5.24,5.28,3.2
1244,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58
1245,1.53,Very Good,I,SI1,63.3,58.0,7.26,7.31,4.61
1246,0.36,Ideal,H,VS1,61.8,57.0,4.56,4.6,2.83
1247,0.34,Ideal,D,VVS2,61.3,56.0,4.51,4.53,2.77
1248,1.0,Very Good,H,SI2,63.3,57.0,6.37,6.3,4.01
1249,0.37,Ideal,D,VVS1,62.0,56.0,4.6,4.59,2.85
1250,0.31,Ideal,F,VS2,61.9,57.0,4.32,4.34,2.68
1251,0.75,Ideal,D,SI2,60.3,57.0,5.85,5.89,3.54
1252,0.37,Ideal,D,VS2,61.6,56.0,4.59,4.63,2.84
1253,0.3,Very Good,G,IF,63.0,53.0,4.24,4.3,2.69
1254,0.6,Ideal,G,VS1,62.2,55.0,5.41,5.45,3.38
1255,0.95,Premium,I,VS2,62.9,57.0,6.24,6.19,3.91
1256,0.51,Premium,F,VVS2,62.3,58.0,5.1,5.08,3.17
1257,1.01,Ideal,G,VS1,62.1,54.0,6.41,6.43,3.99
1258,1.31,Ideal,F,SI1,62.4,56.0,6.98,6.9,4.33
1259,0.91,Very Good,E,SI1,61.9,61.0,6.11,6.14,3.79
1260,0.31,Ideal,E,VS1,61.9,54.4,4.33,4.37,2.69
1261,0.34,Ideal,D,VVS1,61.7,57.0,4.52,4.49,2.78
1262,0.74,Ideal,D,VS1,61.7,55.0,5.79,5.85,3.59
1263,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5
1264,0.41,Ideal,F,IF,61.1,58.0,4.82,4.84,2.95
1265,0.3,Premium,E,VS1,61.8,58.0,4.31,4.33,2.67
1266,0.43,Premium,H,VS1,62.3,58.0,4.75,4.81,2.98
1267,0.3,Ideal,H,VS2,62.6,55.0,4.28,4.31,2.69
1268,0.41,Very Good,E,VVS1,62.9,59.0,4.72,4.76,2.98
1269,2.43,Premium,G,I1,61.7,60.0,8.54,8.49,5.25
1270,1.01,Good,H,SI1,60.5,56.0,6.43,6.49,3.91
1271,1.02,Premium,F,SI1,62.5,56.0,6.44,6.35,4.0
1272,0.55,Ideal,F,VS2,61.1,56.0,5.31,5.27,3.23
1273,0.59,Ideal,G,VS2,62.6,54.0,5.38,5.32,3.35
1274,0.9,Good,E,SI2,62.1,63.0,6.09,6.12,3.79
1275,0.24,Very Good,F,VS2,61.9,59.0,3.98,4.0,2.47
1276,0.3,Good,H,VVS1,63.3,59.0,4.22,4.28,2.69
1277,1.06,Premium,F,SI1,62.4,58.0,6.56,6.51,4.07
1278,0.73,Ideal,I,SI1,62.0,57.0,5.74,5.77,3.56
1279,0.7,Very Good,D,VS1,63.1,59.0,5.67,5.58,3.55
1280,3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92
1281,0.34,Ideal,F,VS2,62.2,55.0,4.47,4.5,2.79
1282,0.33,Premium,E,SI1,60.7,57.0,4.47,4.43,2.7
1283,0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24
1284,0.3,Very Good,G,VVS1,62.6,62.0,4.21,4.26,2.65
1285,0.4,Very Good,D,SI1,63.1,57.0,4.73,4.69,2.97
1286,2.18,Very Good,J,SI1,62.9,59.0,8.21,8.25,5.18
1287,2.2,Very Good,H,SI2,63.3,57.0,8.28,8.17,5.21
1288,0.7,Very Good,E,VS2,61.7,60.0,5.67,5.7,3.51
1289,0.4,Premium,D,VS2,61.7,59.0,4.73,4.76,2.93
1290,0.42,Ideal,G,VVS2,62.0,56.0,4.79,4.83,2.98
1291,3.04,Premium,I,SI2,59.3,60.0,9.51,9.46,5.62
1292,0.4,Good,D,VS2,63.5,56.0,4.66,4.72,2.98
1293,0.64,Very Good,E,VS2,63.4,54.0,5.52,5.49,3.49
1294,0.32,Ideal,E,VS2,62.1,55.0,4.39,4.43,2.74
1295,1.1,Very Good,F,VS2,62.7,58.5,6.5,6.59,4.1
1296,0.34,Very Good,F,VS2,62.9,58.0,4.44,4.46,2.8
1297,0.31,Ideal,G,VVS1,60.6,57.0,4.4,4.38,2.66
1298,1.06,Premium,F,I1,60.3,58.0,6.59,6.56,3.96
1299,2.24,Very Good,H,SI2,62.3,57.0,8.3,8.36,5.19
1300,0.36,Ideal,F,SI1,61.6,56.0,4.62,4.57,2.83
1301,1.0,Very Good,G,VS2,61.1,55.0,6.44,6.5,3.95
1302,0.3,Ideal,G,VVS1,62.1,56.0,4.35,4.28,2.68
1303,0.52,Ideal,G,IF,61.7,56.0,5.19,5.15,3.19
1304,0.7,Ideal,E,VS2,61.9,57.0,5.69,5.74,3.54
1305,1.16,Fair,F,VS1,57.8,67.0,6.97,6.84,3.99
1306,0.53,Ideal,G,VVS2,61.9,54.0,5.2,5.23,3.23
1307,0.26,Ideal,D,VVS2,61.4,56.0,4.12,4.15,2.54
1308,1.08,Premium,F,SI2,62.3,58.0,6.55,6.52,4.07
1309,1.73,Very Good,I,SI1,60.9,59.0,7.71,7.68,4.69
1310,0.55,Very Good,F,VS2,61.8,57.0,5.23,5.28,3.25
1311,0.33,Ideal,G,VVS2,62.5,54.0,4.45,4.41,2.77
1312,0.56,Ideal,E,VVS2,60.9,56.0,5.4,5.33,3.27
1313,0.72,Very Good,F,VS1,62.2,57.0,5.7,5.74,3.56
1314,1.61,Ideal,G,SI1,62.4,55.0,7.51,7.48,4.68
1315,2.1,Premium,J,VS2,61.3,59.0,8.27,8.21,5.05
1316,0.75,Very Good,F,SI1,63.7,58.0,5.73,5.77,3.66
1317,0.31,Ideal,D,VVS2,60.1,56.0,4.43,4.46,2.67
1318,0.41,Ideal,J,VS1,62.8,56.0,4.73,4.79,2.99
1319,1.02,Ideal,I,SI1,62.0,56.0,6.44,6.46,4.0
1320,0.31,Ideal,G,SI1,62.2,55.0,4.38,4.36,2.72
1321,0.58,Ideal,I,SI1,62.2,54.0,5.35,5.39,3.34
1322,0.32,Very Good,E,VS1,61.6,56.0,4.4,4.46,2.73
1323,0.38,Ideal,I,VS2,60.5,56.0,4.71,4.74,2.85
1324,0.7,Ideal,G,VS1,60.5,56.0,5.77,5.79,3.5
1325,1.23,Premium,F,SI2,61.7,57.0,6.89,6.86,4.24
1326,0.42,Ideal,D,VS1,61.8,56.0,4.82,4.86,2.99
1327,0.33,Very Good,E,VVS2,60.1,63.0,4.45,4.5,2.69
1328,0.31,Premium,H,VS1,62.4,58.0,4.34,4.28,2.69
1329,0.9,Very Good,H,SI2,59.5,63.0,6.31,6.26,3.74
1330,0.58,Ideal,D,VS1,61.8,56.0,5.34,5.37,3.31
1331,1.5,Ideal,I,VVS2,60.7,60.0,7.35,7.4,4.48
1332,1.31,Ideal,G,VS1,61.5,57.0,7.02,7.06,4.33
1333,1.52,Very Good,J,VS2,63.5,58.0,7.28,7.24,4.61
1334,0.43,Ideal,F,VS2,61.4,54.0,4.9,4.93,3.02
1335,1.02,Ideal,F,SI1,60.3,60.0,6.55,6.51,3.94
1336,1.5,Premium,G,VS2,62.5,59.0,7.32,7.28,4.56
1337,0.9,Premium,E,VS1,62.3,56.0,6.19,6.1,3.83
1338,2.3,Good,I,SI2,63.8,55.0,8.4,8.35,5.34
1339,0.7,Good,F,SI1,63.8,58.0,5.56,5.67,3.58
1340,0.5,Very Good,F,VVS2,61.0,61.0,5.09,5.11,3.11
1341,0.9,Very Good,F,SI1,61.6,56.0,6.14,6.2,3.8
1342,0.3,Very Good,F,VVS2,64.2,56.0,4.22,4.26,2.72
1343,0.9,Ideal,I,VS2,61.5,58.0,6.19,6.23,3.82
1344,1.08,Ideal,H,VS2,61.8,56.0,6.59,6.55,4.06
1345,0.31,Ideal,F,IF,61.3,57.0,4.34,4.37,2.67
1346,2.01,Premium,J,SI2,62.0,59.0,8.04,8.1,5.0
1347,0.37,Premium,D,VVS2,60.7,59.0,4.66,4.63,2.82
1348,0.78,Ideal,E,SI1,60.4,57.0,5.95,6.0,3.61
1349,1.07,Very Good,G,VS2,62.3,57.0,6.56,6.47,4.06
1350,0.76,Ideal,D,VS2,60.2,56.0,5.92,5.95,3.57
1351,0.6,Ideal,E,VS2,61.8,56.0,5.41,5.46,3.36
1352,0.74,Very Good,F,SI1,61.5,58.0,5.82,5.85,3.59
1353,1.19,Premium,H,VS2,61.0,59.0,6.91,6.8,4.18
1354,1.55,Premium,H,SI1,61.8,59.0,7.45,7.38,4.58
1355,0.41,Premium,H,SI2,60.9,60.0,4.84,4.81,2.94
1356,0.96,Fair,E,SI2,53.1,63.0,6.73,6.65,3.55
1357,1.03,Very Good,G,SI1,63.2,58.0,6.43,6.38,4.05
1358,1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14
1359,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15
1360,0.92,Ideal,D,SI1,62.2,56.0,6.23,6.27,3.89
1361,1.22,Premium,G,SI2,62.4,61.0,6.79,6.79,4.23
1362,1.5,Premium,F,SI1,62.6,60.0,7.27,7.18,4.52
1363,1.56,Ideal,G,SI1,61.2,56.0,7.49,7.51,4.59
1364,1.14,Ideal,E,SI2,62.4,57.0,6.64,6.7,4.16
1365,0.79,Premium,F,SI1,62.8,55.0,5.94,5.88,3.71
1366,1.01,Very Good,H,SI1,62.5,58.0,6.35,6.38,3.98
1367,0.44,Ideal,G,VVS1,61.6,56.0,4.88,4.9,3.01
1368,0.7,Premium,E,SI1,59.7,60.0,5.81,5.79,3.46
1369,0.85,Good,G,SI1,64.2,58.0,6.01,5.92,3.83
1370,1.22,Very Good,J,SI2,63.5,58.0,6.8,6.75,4.3
1371,0.56,Very Good,I,VVS1,62.4,56.0,5.24,5.28,3.28
1372,1.52,Ideal,E,VS2,62.4,55.0,7.42,7.32,4.6
1373,2.34,Good,J,VS2,63.9,62.0,8.4,8.34,5.35
1374,0.33,Very Good,G,VS2,60.8,62.0,4.42,4.46,2.7
1375,0.41,Premium,F,VVS1,61.3,59.0,4.79,4.73,2.92
1376,0.73,Premium,F,SI2,60.2,59.0,5.87,5.82,3.52
1377,1.0,Good,E,VS2,60.6,65.0,6.29,6.36,3.83
1378,0.4,Ideal,H,VVS2,60.8,55.0,4.79,4.82,2.92
1379,0.46,Premium,E,SI1,61.8,57.0,4.98,4.93,3.06
1380,1.01,Premium,D,SI2,60.9,62.0,6.45,6.43,3.92
1381,0.44,Ideal,G,VS1,61.9,54.0,4.89,4.93,3.04
1382,0.41,Premium,F,VS2,60.3,58.0,4.8,4.85,2.91
1383,0.51,Ideal,G,VVS2,62.7,55.0,5.08,5.1,3.19
1384,0.85,Very Good,D,SI2,61.4,60.0,6.05,6.13,3.74
1385,0.38,Good,E,SI1,58.9,58.0,4.73,4.77,2.8
1386,0.41,Ideal,J,VS1,62.2,55.0,4.76,4.79,2.97
1387,1.01,Fair,H,VS1,67.1,59.0,6.16,6.09,4.11
1388,2.18,Premium,I,SI1,63.0,58.0,8.23,8.17,5.22
1389,1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21
1390,0.71,Good,J,VS2,60.6,61.0,5.7,5.79,3.48
1391,0.75,Very Good,H,VS1,59.3,59.0,5.87,6.0,3.52
1392,0.74,Very Good,H,VVS1,62.4,57.0,5.76,5.81,3.61
1393,0.7,Premium,F,SI2,61.2,59.0,5.75,5.72,3.51
1394,0.5,Premium,E,SI2,61.5,58.0,5.09,5.03,3.11
1395,0.3,Premium,E,VS1,60.2,57.0,4.37,4.3,2.61
1396,0.32,Ideal,E,VS2,61.3,56.0,4.41,4.46,2.72
1397,1.21,Premium,I,VS1,61.2,59.0,6.86,6.84,4.19
1398,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67
1399,1.02,Ideal,E,VS1,62.2,54.0,6.44,6.46,4.01
1400,0.3,Good,G,VS1,63.6,55.0,4.27,4.31,2.73
1401,0.29,Premium,G,VVS1,62.0,58.0,4.23,4.19,2.61
1402,0.51,Ideal,G,VVS2,62.1,58.0,5.09,5.12,3.17
1403,0.36,Very Good,I,VS1,60.9,61.0,4.58,4.61,2.8
1404,0.51,Premium,G,VS1,62.0,52.0,5.37,5.05,3.23
1405,0.23,Ideal,F,VS1,61.4,55.0,3.96,3.99,2.44
1406,0.55,Ideal,F,VS1,61.0,55.0,5.29,5.33,3.24
1407,1.24,Premium,J,SI1,61.8,58.0,6.9,6.86,4.25
1408,1.0,Very Good,E,SI2,59.5,63.0,6.41,6.47,3.83
1409,2.09,Premium,H,SI2,62.1,58.0,8.17,8.22,5.09
1410,0.3,Ideal,H,VS1,62.5,56.0,4.27,4.24,2.66
1411,0.38,Ideal,G,SI1,61.3,56.0,4.67,4.63,2.85
1412,0.32,Ideal,G,VS1,62.0,55.0,4.43,4.44,2.75
1413,0.77,Very Good,E,VS2,60.4,58.0,5.94,6.01,3.61
1414,1.05,Ideal,H,VS2,62.6,56.0,6.45,6.5,4.05
1415,1.19,Premium,J,SI1,63.0,54.0,6.82,6.74,4.27
1416,0.7,Ideal,F,VS1,62.4,53.0,5.73,5.71,3.57
1417,1.01,Premium,G,SI1,60.2,58.0,6.48,6.44,3.89
1418,0.44,Ideal,E,SI1,61.1,56.0,4.9,4.92,3.0
1419,1.03,Ideal,J,SI2,60.6,56.0,6.58,6.57,3.99
1420,1.02,Very Good,F,VS1,61.3,59.0,6.45,6.51,3.97
1421,0.7,Ideal,E,VVS2,62.8,56.0,5.68,5.6,3.54
1422,1.04,Ideal,G,VS2,62.0,59.0,6.43,6.5,4.01
1423,0.62,Ideal,J,VS1,62.3,54.0,5.46,5.49,3.41
1424,0.34,Ideal,G,VS2,61.5,56.0,4.5,4.47,2.76
1425,0.42,Very Good,H,VVS1,62.2,56.0,4.78,4.81,2.98
1426,0.34,Very Good,G,VVS1,60.9,57.0,4.53,4.56,2.76
1427,2.18,Ideal,I,SI2,61.4,60.0,8.37,8.31,5.12
1428,0.3,Very Good,E,VS2,61.8,58.0,4.26,4.28,2.64
1429,0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22
1430,2.0,Good,E,SI2,57.7,61.0,8.31,8.19,4.76
1431,2.01,Very Good,I,VS2,59.2,62.0,8.14,8.17,4.83
1432,1.2,Very Good,J,SI1,61.4,59.0,6.82,6.87,4.2
1433,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73
1434,0.57,Very Good,E,VS2,61.0,57.0,5.33,5.35,3.26
1435,0.4,Ideal,G,VS1,60.7,57.0,4.77,4.78,2.9
1436,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53
1437,1.23,Premium,G,VS1,59.6,60.0,6.99,6.94,4.15
1438,0.93,Ideal,H,VS2,61.5,57.0,6.3,6.26,3.86
1439,1.1,Very Good,J,SI2,61.9,55.0,6.59,6.63,4.09
1440,0.78,Very Good,D,SI1,62.4,58.0,5.86,5.9,3.67
1441,0.72,Ideal,G,SI2,61.8,57.0,5.73,5.69,3.53
1442,1.0,Very Good,E,SI2,62.8,59.0,6.3,6.34,3.97
1443,1.02,Ideal,E,VS1,62.2,54.0,6.43,6.46,4.01
1444,1.5,Ideal,J,SI1,59.4,62.0,7.38,7.35,4.38
1445,0.72,Fair,G,VS2,64.6,55.0,5.66,5.71,3.67
1446,0.9,Premium,J,SI1,60.4,59.0,6.27,6.24,3.78
1447,0.56,Premium,J,VS2,60.9,60.0,5.33,5.27,3.23
1448,1.22,Ideal,F,VVS1,62.0,54.0,6.88,6.9,4.27
1449,0.32,Ideal,G,VVS1,61.9,56.0,4.4,4.39,2.72
1450,0.46,Ideal,E,SI1,62.0,54.0,4.97,4.99,3.09
1451,0.3,Ideal,D,SI1,61.8,56.0,4.31,4.33,2.67
1452,0.5,Very Good,G,VVS1,62.3,59.0,5.01,5.04,3.13
1453,0.44,Premium,E,VS2,60.4,59.0,4.93,4.9,2.97
1454,0.5,Premium,F,VS2,60.6,59.0,5.13,5.03,3.08
1455,0.3,Very Good,H,VS1,63.1,57.0,4.26,4.24,2.68
1456,2.01,Premium,H,VS2,61.1,61.0,8.14,8.09,4.96
1457,1.0,Ideal,E,SI1,62.3,55.0,6.34,6.41,3.97
1458,1.51,Very Good,D,SI2,63.2,59.0,7.25,7.18,4.56
1459,0.51,Very Good,F,SI2,62.3,55.0,5.13,5.15,3.2
1460,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27
